"";"sentimentTerm";"score"
"1";"abbau";-0,058
"2";"abbauen";-0,0578
"3";"abbrechen";-0,3482
"4";"abbruch";-0,0048
"5";"abdämpfen";-0,0048
"6";"abdämpfung";-0,0048
"7";"abdanken";-0,0048
"8";"abdankung";-0,0048
"9";"abfall";-0,0048
"10";"abfallen";-0,0048
"11";"abfällig";-0,3197
"12";"abfuhr";-0,3367
"13";"abführen";-0,3358
"14";"abgebrochen";-0,0048
"15";"abgedroschen";-0,1839
"16";"abgesichert";0,004
"17";"abgestanden";-0,0368
"18";"abgetakelt";-0,0048
"19";"abgleiten";-0,0397
"20";"abgrund";-0,3465
"21";"abgründig";-0,1719
"22";"abhängig";-0,0048
"23";"abhängigkeit";-0,3653
"24";"ablaufen";-0,0048
"25";"ablehnen";-0,6458
"26";"ablehnung";-0,5118
"27";"ablenken";-0,042
"28";"ablenkung";-0,0435
"29";"abmachen";0,004
"30";"abmachung";0,004
"31";"abnahme";-0,0048
"32";"abnehmen";-0,0292
"33";"abneigung";-0,0048
"34";"abnutzen";-0,0417
"35";"abnutzung";-0,0048
"36";"abraten";-0,3353
"37";"abreissen";-0,3116
"38";"abriss";-0,0048
"39";"abrupt";-0,0048
"40";"abrutsch";-0,0048
"41";"abrutschen";-0,0048
"42";"abschaffen";-0,0048
"43";"abschaffung";-0,058
"44";"abschätzig";-0,0048
"45";"abschießen";-0,0048
"46";"abschließen";0,004
"47";"abschluß";0,004
"48";"abschrecken";-0,178
"49";"abschreckend";-0,049
"50";"abschreckung";-0,0048
"51";"abschreiben";-0,1847
"52";"abschreibung";-0,3345
"53";"abschuß";-0,0048
"54";"abschwächen";-0,0048
"55";"abschwächung";-0,1935
"56";"absenken";-0,0048
"57";"absenkung";-0,3434
"58";"absinken";-0,3269
"59";"absolut";0,2418
"60";"abspalten";-0,3099
"61";"abspaltung";-0,0048
"62";"absperren";-0,0048
"63";"absperrung";-0,0048
"64";"absteigen";-0,4776
"65";"abstieg";-0,3215
"66";"abstimmen";0,004
"67";"abstimmung";0,004
"68";"abstoß";-0,0048
"69";"abstoßen";-0,1796
"70";"abstoßend";-0,5859
"71";"abstrich";-0,3201
"72";"abstumpfen";-0,0048
"73";"abstumpfung";-0,0048
"74";"absturz";-0,4739
"75";"abstürzen";-0,4697
"76";"absurd";-0,212
"77";"absurdität";-0,0048
"78";"abtragen";-0,0048
"79";"abwärtstrend";-0,1941
