inflected_form,lemma
..,...
....,...
a-bombs,a-bomb
a-levels,a-level
aahs,aah
aardvarks,aardvark
aas,aa
abaci,abacus
abacuses,abacus
abalones,abalone
abandoned,abandon
abandoning,abandon
abandonments,abandonment
abandons,abandon
abas,aba
abased,abase
abasements,abasement
abases,abase
abashed,abash
abasing,abase
abated,abate
abatements,abatement
abates,abate
abating,abate
abattoirs,abattoir
abbacies,abbacy
abbesses,abbess
abbeys,abbey
abbots,abbot
abbreviated,abbreviate
abbreviates,abbreviate
abbreviating,abbreviate
abbreviations,abbreviation
abcs,abc
abdicated,abdicate
abdicates,abdicate
abdicating,abdicate
abdications,abdication
abdomens,abdomen
abducted,abduct
abducting,abduct
abductions,abduction
abductors,abductor
abducts,abduct
aberdares,aberdare
aberdeens,aberdeen
aberrations,aberration
abetments,abetment
abets,abet
abetted,abet
abetters,abetter
abetting,abet
abettors,abettor
abhorred,abhor
abhorrers,abhorrer
abhorring,abhor
abhors,abhor
abided,abide
abiders,abider
abides,abide
abiding,abide
abigails,abigail
abilities,ability
abingdons,abingdon
abjured,abjure
abjures,abjure
abjuring,abjure
ablated,ablate
ablates,ablate
ablating,ablate
ablations,ablation
abler,able
ablest,able
ablutions,ablution
abnormalities,abnormality
abnormals,abnormal
abode,abide
abodes,abode
abolished,abolish
abolishes,abolish
abolishing,abolish
abolishments,abolishment
abolitionists,abolitionist
abolitions,abolition
abomasums,abomasum
abominated,abominate
abominations,abomination
aborigines,aborigine
aborted,abort
abortifacients,abortifacient
aborting,abort
abortion-rights,abortion-right
abortionists,abortionist
abortions,abortion
aborts,abort
abos,abo
abounded,abound
abounding,abound
abounds,abound
about-faced,about-face
about-faces,about-face
about-turned,about-turn
about-turns,about-turn
abovementioned,abovementioned|abovementioned
abracadabras,abracadabra
abraded,abrade
abrades,abrade
abrading,abrade
abrasions,abrasion
abrasives,abrasive
abridged,abridge
abridgements,abridgement
abridges,abridge
abridging,abridge
abridgments,abridgment
abris,abri
abrogated,abrogate
abrogates,abrogate
abrogating,abrogate
abruptions,abruption
abscessed,abscess
abscesses,abscess
absconded,abscond
absconders,absconder
absconding,abscond
absconds,abscond
abseiled,abseil
abseiling,abseil
abseils,abseil
absences,absence
absented,absent
absentees,absentee
absenting,absent
absents,absent
absolutes,absolute
absolutisms,absolutism
absolved,absolve
absolves,absolve
absolving,absolve
absorbed,absorb
absorbents,absorbent
absorbers,absorber
absorbing,absorb
absorbs,absorb
absorptions,absorption
abstained,abstain
abstainers,abstainer
abstaining,abstain
abstains,abstain
abstentions,abstention
abstracted,abstract
abstracting,abstract
abstractions,abstraction
abstracts,abstract
absurdest,absurd
absurdities,absurdity
abundances,abundance
abused,abuse
abusers,abuser
abuses,abuse
abusing,abuse
abutilons,abutilon
abutments,abutment
abuts,abut
abutted,abut
abutters,abutter
abutting,abut
abysses,abyss
acacias,acacia
academes,academe
academias,academia
academicians,academician
academics,academic
academies,academy
acadians,acadian
acccounting,acccount
acceded,accede
accedes,accede
acceding,accede
accelerants,accelerant
accelerated,accelerate
accelerates,accelerate
accelerating,accelerate
accelerations,acceleration
accelerators,accelerator
accelerometers,accelerometer
accented,accent
accenting,accent
accents,accent
